owner,campaigns,lfp_campaigns
03aIPZUgN7M9PZsRMvi76pQmEa93,1,0
03ac2NdT05YevRnUYjlBC9L8XJl2,2,0
03hTcrbxghcHKFJW86cea4XoQeg2,2,2
03hTyIkLFTUbHPaTnBH3RFb0sQh2,1,0
03j91dw5e9UX7TL9MyASSfFK5Fl2,1,0
03kCIa10lAbL1PXE9CPPCmWhp442,3,0
03knDLqajPaMgpvoe1McE1s5rHi1,1,0
03kqR8Wq2vbXC15K420lRA10duB3,1,0
03lcLhLTGfTcMPqtwO2hDGVowJl1,2,0
03oOy2rhwYVDvyQFZcqvAkFOnqo1,5,0
03qYbWdBRpc4E3crD08UkMEWe4J2,1,0
03qc9co46IVEAOdFsT4dAvQ0zkt2,1,0
040VkUm95aVrgzcC6toiU9dGXw73,1,0
041SA3M61rcibK8e6XPt0mwkEdQ2,1,0
041ZK50K8VWFqGA43AAwsK7OMx13,1,0
042gVNSvzwZ4HCq6ExVc14vY0uv1,1,0
048fpCUjrUYURd9TI0y0cwgS1o42,18,3
04Digrwc14hwT3htFhRiXkD9BtG3,1,0
04EpesrLILcUgHf6Rnes7qdx3TO2,1,0
04FqlFhgUQT5IVbvsrYCSj7ytGN2,1,0
04MOKsn6AMhVhVUtfVMRzpcfo2Z2,1,0
04QWjlnMTNezvZl2zvQPOjcrg5t1,2,1
04SCqTfsZdgCBjlazSu4j1hvUrx1,1,0
04Ti0NkLFGRS4GsM95dnoDSW1nU2,2,0
04cEcTI81yRQ69zgf9XQPfBRLk73,1,0
04cmLLtHh7O0DLoDqIIRooBRjCv1,2,0
04iDN1iRFrTTAI0tKtJ1oam4Ym02,10,0
04nj6sMVj9aFN8nx6JTvburDxyC3,2,0
04rky5pDFDMQddW9oJKNr6CcfAB3,1,0
04vPwZzDtbaYRS1VzyvlQ4yIlQB3,2,0
04xdM2su3cOzFfvB9FQsgBv4B1K2,1,0
04ySKBATYBeIut63YM8KgF56X5x1,1,0
04yiOubTICSQaRE5TZy0r1QQSRB3,1,0
04zqPHZcfEcioSXu0tgsmYAWAW52,2,0
058LljxZ0HWAGxGVufKiJ0aRQam1,4,1
05BEMsPk0Ohlnwwi1QBRO2g21ee2,1,0
05DT5zlFZ1Q2HwbhV5hljHlUdw62,1,0
05EiGQNOokage0TzJmMHxCViEIC2,3,0
05OEIXpsryNTmZONb3fnpZEfAck1,2,0
05ONysKT5TZrFc3XTqRwBmI24Ju2,1,0
05OnS0WKHYZX57t3Foq3XhSesxL2,1,0
05P2KhnRHBMfW9TpxJE8vTXQRHh2,1,0
05PSPAdooMNJOQK9EBAMaoSNmzH3,15,3
05RKOSy42wQeqg15GpX7fTcPaN83,1,0
05TNXCUY01V7yMpciNuXlqGrNMH2,66,13
05Tv2WFjkDaMzqnCfOIkBzkQwXP2,1,0
05Wk6OKMwiXFkvD6djZJuM4aA3G3,1,0
05XgjZ8LWPapaI6R6bTJbmRZyGI2,2,0
05aa6bqS1GdTqLK0Pa3nKPxAlu22,5,2
05azQgPGuxgZh1nPhpCpNOspHQF3,2,0
05cCjFDK7pNoo9a6dPzEK1dDEm03,1,0
05gMdHbRMHbODEXlcAF1IXpEkIA2,1,0
05kCLjofszSBZNmdlDvglgaRHsC3,1,0
05s3n9FT0sOzvAEde0ZFMB70mWq1,2,1
05srKDr2fBhJjtOo7l0gKAOFZcl2,1,0
05xtZeHWntMfqFFXmcrsJMXGHCu1,1,0
05yvJG3uJEXwBLUX6raQ18dtIfy1,21,1
05zFhD8c2Jeq4sCnO0ijZULXfeR2,2,0
065IO5m0qAMWHabIYG43PTGiFnr1,1,0
066IkxMHWKVzY19GfH6QdbcCtUx2,1,0
067Gy1BQoCOdrS0IpZT9IAx5Ft53,1,0
068LDf1tV9MOcliYuiZ3LpXldXi2,1,0
069BAGZZp3ReC11PArNLWlDD3o43,1,0
06Cj4c1j98atlojelBXHGeZ8upE2,1,0
06GexrYm2LVLjEimqkvX6phtW4f2,1,0
06LHcZRlkrTIwvUiYHH4rUD1oDl2,31,2
06MQ9xNj5TfDoxs4kBZHogtMdT32,2,0
06NdCBLxhQYt6Ze3s1uZ3PdrkoB3,1,0
06Q6hh4poWcC6Y2mis4nchkVX3B3,1,0
06QJysyLa8c7g9sryKZkjrOSkXW2,1,0
06XBllYDkiNp1ms8jKknlq4pVwI3,2,0
06XlVwf2l0Mff13LEZoIZq6vKBD3,1,0
06b9POF5d3azonIbrhXhNSqohNv2,1,0
06ddmqpJiYbSdDHvWNwrFf5dyAz1,2,0
06gDLrmBkAPy3WXliDxOCBQ8xID2,3,0
06gWawTiy9ZDYAlz9WSsqogm52r1,1,0
06i8ZJnicoP1t85NwVzw4PaphZl2,1,0
06jYeEEBTLW4iL4Oy0Y2Gp43BVi1,1,0
06posgUXszVF2RaxDmbmmThkf5y2,2,0
06qlI5tt13efVJtlHf3GBrWO1U43,2,0
06rgpple1PTuIZo2QRsrrtBUdgz2,1,0
06sOOEZZ8TbbA2sVUf3C3cKN8ox2,2,0
06uKT4a6gZO1XE25iTb9hJjDVb53,1,0
06xfLYzrFxYTDGNGwyPSxuEbgrv2,1,0
06zCyKRDjCel4Psm30HwOTzgqMt2,1,0
071EaN1sumYW14tQWlhIpaBTNWy2,1,0
076gVlglD4dl2BDWA4cZToO12R72,1,0
07HOyWtijubj8Vhmn9GQBxxvojp2,1,0
07Jqf9q5mqgnI4uywysPButKL7G2,5,0
07QXfYNQKFfW14BdADB3N89wI4i1,1,0
07WLwloTNrb7cIaGKIY8aEPu2Tq1,1,0
07cYBdE1X9d8VbtkLAVgRsH6KMP2,1,0
07dIcWtyYffwDhSRZc50pW653Bo1,1,0
07dLOIG0xXSxw79i3hACh26lvhu2,1,0
07dzVqpmnjObfChMtwfaqV8M5sU2,1,0
07kU1paSfsQFIfhwKMnF9zYcXki1,2,0
07oLZE5VjWfDidB8QgqrlRfnJdj1,4,2
07vVueJTrfe6tPY1lS6oy2RePm22,1,0
07zabiwu4aerImMj3Ec6H4GyvXc2,1,0
080nbJyVnDfTwBGK8DhuoTy0nuy2,48,0
082BiyPhvcgQBuc8mHlmygS6xz02,1,0
082KTvZoisNsz52xQztl6bxJjig1,1,0
08C7tQniJQVqUrvSVHWazEFzmzr1,1,0
08CganmgaKVoNvsmUPXuF9JRgyW2,1,0
08DLw4FPa1cJ7Sv3BRfwAMACx4U2,1,0
08EvLbnTYCPJSxyClxp40Lg6iLE2,7,3
08Fd9q4M6URNyXr32fP5yWNZRf03,1,0
08LkgvKLc7anleXFIBqSQ67GZn62,1,0
08OI6SSkGHM7Rxjt8lxUnAMqCtv1,10,1
08QeeSSUbwWiI5t7T4CsAWMtf243,1,0
08SvXEbeoycwL1fFdGEi1NLMXbv2,2,0
08UjnQ9hOZdXHRaqUD4yBIZJ6Jf1,2,0
08V6voYnV1OlLG5aDJGFBZRsNnc2,2,0
08VHa3jHmTZ5WyKUplSVTlTIr7I3,1,0
08VJ3IeS1SOaxaK7BdKQ6hQkowg1,16,2
08VoLVBODDSWuMYQGKOJUOY6nM03,2,1
08VqRWzVILOMRHT7Iz3zpCHrTk42,2,0
08WNHRsD8RQYRiuHrvrXs6r2HeO2,1,0
08YfFPdLMChknj2Z2uoemfyvyGw1,17,4
08dmse2CxTQsx5wzWuCDYbqkz4v2,20,1
08fATpQl95hBZCljUyqzygyeOUc2,1,0
08gEjC0sTySASGptGH4lsD5JWnk1,1,0
08gz9c4m8uQYECluAUDMqCD54hs1,1,0
08j3aknT7XZ1yBmECPP40QDttrP2,1,0
08jS1XbPzMhG9ONGAXzpHWD4pEz1,6,0
08kh7UE3baeuCxO2A3P09lrYzRm2,6,0
08mBzWjhWOfZZgPnk8XUlxLqLGl2,2,0
08oHiOQVsrSIsvXBUSCmWCDyEHz1,1,0
08oUQ66CrRZfUTGrApApmzommxX2,1,0
08oj3pZiHMg9AxpZMR6uJ2jX3AP2,1,0
08rmaBC01BYN6MegBi2P8cjA9ce2,1,0
08szgEB2Y4P97veeyURxoR4KGx23,3,0
08xDKrWn77bdnzy2DfF2qW726gm2,2,0
08yTkEzdqHZwtdLZnyLTC7oAOrF2,1,0
08zzStwsEzMMbalYPqCU84DToFJ3,1,0
0944ZL6vE6QrBRzrovZsCGPQ0sJ2,2,0
